,averageRating,id,numVotes,popularity,runtime,vote_average,vote_count
count,432169.0,432169.0,432169.0,432169.0,432169.0,432169.0,432169.0
mean,-4.345768806094599e-16,-3.788079346716842e-17,-1.7362030339118858e-17,3.972222092737799e-17,-4.4720381176518274e-17,-1.809860132320269e-16,2.4727740179957162e-17
std,1.0000011569568101,1.0000011569568104,1.0000011569568104,1.0000011569568101,1.0000011569568101,1.00000115695681,1.0000011569568106
min,-3.9884385924608474,-1.392669222546975,-0.08867810568938057,-0.19449056859574593,-1.0518137094483058,-1.1537575379814153,-0.09571900446428247
25%,-0.5684761911349653,-0.7896130417690939,-0.08820452616953972,-0.14182510217688418,-0.8146137387893534,-1.1537575379814153,-0.09571900446428247
50%,0.03951712465630257,-0.18847431312606777,-0.08697321941795351,-0.11847674539785549,0.21325280073277386,0.3421685368955129,-0.0937775783058141
75%,0.6475104404475703,0.6174908488100067,-0.08056410991610737,-0.04764169306448649,0.4662661027689898,0.8195917522817665,-0.08407044751347224
max,2.851486210190917,2.656867295705068,93.51071478650353,262.63752281404345,226.66015812314603,2.0290638979269424,66.87377633190223
